location name,lat,lon,day,time,pm2.5,pm10,so2,no2,o3,co,no,nox
London Marylebone Road,51.52253,-0.154611,2024-08-30,18:00:00+00:00,15.0,,2.0,47.0,50.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,17:00:00+00:00,14.0,,2.0,47.0,47.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,16:00:00+00:00,14.0,,2.0,47.0,44.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,15:00:00+00:00,14.0,,1.0,18.0,41.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,14:00:00+00:00,14.0,,1.0,22.0,36.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,13:00:00+00:00,15.0,,0.0,20.6,63.5,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,12:00:00+00:00,15.0,,0.1,16.1,23.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,11:00:00+00:00,15.0,,0.2,23.7,23.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,10:00:00+00:00,15.0,,1.0,28.0,23.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,09:00:00+00:00,14.0,,1.0,28.0,22.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,08:00:00+00:00,15.0,,1.0,28.0,22.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,07:00:00+00:00,14.0,,1.0,24.0,21.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,06:00:00+00:00,,,0.2,21.6,26.7,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,05:00:00+00:00,,,0.3,,,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,04:00:00+00:00,,,0.0,,,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,03:00:00+00:00,,,-0.1,14.1,,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,02:00:00+00:00,,,-0.1,19.8,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,01:00:00+00:00,,,-0.1,,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,00:00:00+00:00,,,0.1,44.17875,14.36904,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,23:00:00+00:00,,,0.3,41.9,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,22:00:00+00:00,10.0,,0.2,,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,21:00:00+00:00,10.0,,0.1,,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,20:00:00+00:00,10.0,,0.0,,36.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,19:00:00+00:00,11.0,,0.1,,32.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,18:00:00+00:00,11.0,,1.0,30.0,32.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,17:00:00+00:00,11.0,,1.0,30.0,30.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,16:00:00+00:00,11.0,,1.0,30.0,28.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,15:00:00+00:00,11.0,,2.0,43.0,24.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,14:00:00+00:00,11.0,,2.0,48.0,20.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,13:00:00+00:00,11.0,,1.0,38.0,18.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,12:00:00+00:00,11.0,,2.0,36.0,17.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,11:00:00+00:00,11.0,,2.0,35.0,17.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,10:00:00+00:00,11.0,,2.0,29.0,17.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,09:00:00+00:00,12.0,,2.0,40.0,18.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,08:00:00+00:00,,,1.1,32.9,22.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,07:00:00+00:00,,,0.9,33.7,20.2,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,06:00:00+00:00,14.0,25.0,1.2,32.4,37.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,05:00:00+00:00,14.0,25.0,0.5,32.0,37.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,04:00:00+00:00,14.0,25.0,1.0,13.0,37.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,03:00:00+00:00,15.0,25.0,1.0,13.0,38.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,02:00:00+00:00,15.0,25.0,1.0,13.0,40.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,01:00:00+00:00,15.0,24.0,1.0,17.0,42.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-29,00:00:00+00:00,15.0,25.0,1.0,21.0,44.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,23:00:00+00:00,,,0.2,18.7,40.4,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,22:00:00+00:00,16.0,25.0,1.0,37.0,46.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,21:00:00+00:00,16.0,25.0,1.0,45.0,47.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,20:00:00+00:00,16.0,25.0,1.0,49.0,45.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,19:00:00+00:00,15.0,25.0,2.0,41.0,44.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,18:00:00+00:00,15.0,25.0,2.0,51.0,40.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,17:00:00+00:00,15.0,24.0,2.0,59.0,39.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,16:00:00+00:00,15.0,24.0,3.0,66.0,33.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,15:00:00+00:00,,,1.5,60.0,52.4,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,14:00:00+00:00,13.0,22.0,1.4,65.1,53.1,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,13:00:00+00:00,13.0,22.0,0.9,62.1,54.8,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,12:00:00+00:00,13.0,22.0,1.1,58.7,4.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-28,11:00:00+00:00,13.0,22.0,1.2,54.9,4.0,-200.0,,
